candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_flex_wide_rw1.35_cw1.05,all,flex,wide,1.35,1.05,151072.3224363536,6.34385825678167,163508.5933589252,7.364856854778721,157290.45789763943,6.8543575557801955,7.932720873939186,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.15,all,flex,mid,1.3,1.15,146680.28370565793,6.255439574885558,161969.2389273406,7.322945023017862,154324.76131649927,6.7891922989517095,7.938582270131752,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.30,all,base,mid,1.3,1.3,146680.28370565793,6.255439574885558,164429.3084898552,7.374842221060348,155554.79609775657,6.815140897972952,7.939343987943918,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.10,all,flex,mid,1.3,1.1,146680.28370565793,6.255439574885558,161825.87517046768,7.328527436295923,154253.0794380628,6.79198350559074,7.940225935281073,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.05,all,base,mid,1.3,1.05,146680.28370565793,6.255439574885558,164558.3264061434,7.397857001498987,155619.30505590065,6.826648288192272,7.942319423222008,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.20,all,flex,mid,1.3,1.2,146680.28370565793,6.255439574885558,162725.8075809572,7.338333688297356,154703.04564330756,6.796886631591457,7.94273318799828,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.15,all,base,mid,1.25,1.15,145560.3488750278,6.254733388008897,160278.25197001273,7.283546538597255,152919.30042252026,6.7691399633030755,7.946693153838484,1.0,4,8
ratio_all_base_business_rw1.35_cw1.00,all,base,business,1.35,1.0,151072.3224363536,6.34385825678167,167399.9509007877,7.474051649630976,159236.13666857066,6.908954953206323,7.947256886153883,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.00,all,base,wide,1.35,1.0,151072.3224363536,6.34385825678167,167399.9509007877,7.474051649630976,159236.13666857066,6.908954953206323,7.947256886153883,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.10,all,base,mid,1.25,1.1,145560.3488750278,6.254733388008897,160127.4828048709,7.2867308577548595,152843.91583994933,6.770732122881878,7.948061254845571,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.05,all,flex,mid,1.3,1.05,146680.28370565793,6.255439574885558,162762.19219992167,7.360819148379639,154721.2379527898,6.808129361632598,7.949817465547465,1.0,4,8
ratio_all_base_mid_rw1.25_cw1.20,all,base,mid,1.25,1.2,145560.3488750278,6.254733388008897,161168.5515815252,7.30078497422738,153364.4502282765,6.777759181118138,7.950030932764651,1.0,4,8
ratio_all_flex_mid_rw1.30_cw1.25,all,flex,mid,1.3,1.25,146680.28370565793,6.255439574885558,164183.80329736747,7.3820455620289085,155432.0435015127,6.818742568457234,7.953410153171732,1.0,4,8
