scenario,fold,valid_days,scenario_weight,valid_start,valid_end,candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mape,avg_mae
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.10,no_web,conservative,mid,1.4,1.1,136961.8707777778,4.629274306428726,224216.5115555556,7.566744162918676,6.0980092346737,180589.1911666667
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.15,no_web,conservative,mid,1.4,1.15,136961.8707777778,4.629274306428726,219097.48433333333,7.412098472372319,6.020686389400522,178029.67755555557
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.20,no_web,conservative,mid,1.4,1.2,136961.8707777778,4.629274306428726,214164.36788888887,7.265432237378539,5.947353271903632,175563.11933333334
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.25,no_web,conservative,mid,1.4,1.25,136961.8707777778,4.629274306428726,209332.31933333335,7.122007201594542,5.875640754011634,173147.09505555558
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.40_cw1.30,no_web,conservative,mid,1.4,1.3,136961.8707777778,4.629274306428726,204558.03855555557,6.981445825785296,5.805360066107011,170759.9546666667
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw0.95,no_web,conservative,mid,1.45,0.95,138489.89422222224,4.712657419224923,254030.10811111113,8.435310899619685,6.573984159422304,196260.00116666668
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.00,no_web,conservative,mid,1.45,1.0,138489.89422222224,4.712657419224923,248713.93699999998,8.271593495805602,6.492125457515263,193601.9156111111
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.05,no_web,conservative,mid,1.45,1.05,138489.89422222224,4.712657419224923,243640.46833333335,8.120563871494682,6.416610645359802,191065.1812777778
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.10,no_web,conservative,mid,1.45,1.1,138489.89422222224,4.712657419224923,238567.54811111113,7.969560526401143,6.341108972813033,188528.72116666668
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.15,no_web,conservative,mid,1.45,1.15,138489.89422222224,4.712657419224923,233494.63799999995,7.818557484596866,6.265607451910895,185992.2661111111
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.20,no_web,conservative,mid,1.45,1.2,138489.89422222224,4.712657419224923,228421.71122222225,7.667553929304326,6.1901056742646245,183455.80272222223
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.25,no_web,conservative,mid,1.45,1.25,138489.89422222224,4.712657419224923,223348.80666666667,7.516551056940105,6.114604238082514,180919.35044444446
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.45_cw1.30,no_web,conservative,mid,1.45,1.3,138489.89422222224,4.712657419224923,218275.8957777778,7.365547990551141,6.039102704888032,178382.89500000002
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.50_cw0.95,no_web,conservative,mid,1.5,0.95,144000.13700000002,4.914680602087356,270140.9077777778,8.898428048315427,6.906554325201391,207070.52238888893
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.50_cw1.00,no_web,conservative,mid,1.5,1.0,144000.13700000002,4.914680602087356,264757.37855555554,8.734172413548992,6.824426507818174,204378.7577777778
